Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Leontien Zijlaard-van Moorsel;34;2004;08/29/2004;1;0;1
Félicia Ballanger;29;2000;10/01/2000;2;0;0
Robert Bartko;24;2000;10/01/2000;2;0;0
Jens Fiedler;30;2000;10/01/2000;0;0;2
Jens Lehmann;32;2000;10/01/2000;1;1;0
Gary Neiwand;34;2000;10/01/2000;0;1;1
Jason Queally;30;2000;10/01/2000;1;1;0
Jan Ullrich;26;2000;10/01/2000;1;1;0
Lukáš Bauer;32;2010;02/28/2010;0;0;2
Anna Haag;23;2010;02/28/2010;0;2;0
Marcus Hellner;24;2010;02/28/2010;2;0;0
Charlotte Kalla;22;2010;02/28/2010;1;1;0
Claudia Künzel-Nystad;32;2010;02/28/2010;1;1;0
Aino-Kaisa Saarinen;31;2010;02/28/2010;0;0;2
Evi Sachenbacher-Stehle;29;2010;02/28/2010;1;1;0
Axel Teichmann;30;2010;02/28/2010;0;2;0
Tobias Angerer;28;2006;02/26/2006;0;1;1
Yuliya Chepalova;29;2006;02/26/2006;1;1;0
Yevgeny Dementyev;23;2006;02/26/2006;1;1;0
Giorgio Di Centa;33;2006;02/26/2006;2;0;0
Thobias Fredriksson;30;2006;02/26/2006;1;0;1
Claudia Künzel-Nystad;28;2006;02/26/2006;0;2;0
Björn Lind;27;2006;02/26/2006;2;0;0
Yevgeniya Medvedeva;29;2006;02/26/2006;1;0;1
Katerina Neumannová;32;2006;02/26/2006;1;1;0
Pietro Piller Cottrer;31;2006;02/26/2006;1;0;1
Kristina Šmigun-Vähi;28;2006;02/26/2006;2;0;0
Thomas Alsgaard;30;2002;02/24/2002;2;0;0
Viola Bauer;25;2002;02/24/2002;1;0;1
Anita Moen-Guidon;34;2002;02/24/2002;0;1;1
Katerina Neumannová;28;2002;02/24/2002;0;2;0
Evi Sachenbacher-Stehle;21;2002;02/24/2002;1;1;0
Kristen Skjeldal;34;2002;02/24/2002;1;0;1
Andrus Veerpalu;31;2002;02/24/2002;1;1;0
Cristian Zorzi;29;2002;02/24/2002;0;1;1
Tina Dietze;24;2012;08/12/2012;1;1;0
Natasa Douchev-Janics;30;2012;08/12/2012;0;1;1
Katalin Kovács;36;2012;08/12/2012;1;1;0
Danuta Kozák;25;2012;08/12/2012;2;0;0
Inna Osypenko-Radomska;29;2012;08/12/2012;0;2;0
Franziska Weber;23;2012;08/12/2012;1;1;0
Tim Brabants;31;2008;08/24/2008;1;0;1
David Cal;25;2008;08/24/2008;0;2;0
Natasa Douchev-Janics;26;2008;08/24/2008;1;1;0
Christian Gille;32;2008;08/24/2008;0;1;1
Katalin Kovács;32;2008;08/24/2008;1;1;0
Vadim Makhnyov;28;2008;08/24/2008;1;0;1
Roman Petrushenko;27;2008;08/24/2008;1;0;1
Katrin Wagner-Augustin;30;2008;08/24/2008;1;0;1
Ken Wallace;25;2008;08/24/2008;1;0;1
Tomasz Wylenzek;25;2008;08/24/2008;0;1;1
Nathan Baggaley;28;2004;08/29/2004;0;2;0
David Cal;21;2004;08/29/2004;1;1;0
Andreas Dittmer;32;2004;08/29/2004;1;1;0
Natasa Douchev-Janics;22;2004;08/29/2004;2;0;0
Birgit Fischer-Schmidt;42;2004;08/29/2004;1;1;0
Aleksandr Kostoglod;30;2004;08/29/2004;0;1;1
Katalin Kovács;28;2004;08/29/2004;1;1;0
Aleksandr Kovalyov;29;2004;08/29/2004;0;1;1
Eirik Verås Larsen;28;2004;08/29/2004;1;0;1
Carolin Leonhardt;19;2004;08/29/2004;1;1;0
Adam Van Koeverden;22;2004;08/29/2004;1;0;1
Andreas Dittmer;28;2000;10/01/2000;1;0;1
Birgit Fischer-Schmidt;38;2000;10/01/2000;2;0;0
Knut Holmann;32;2000;10/01/2000;2;0;0
Zoltán Kammerer;22;2000;10/01/2000;2;0;0
Katalin Kovács;24;2000;10/01/2000;0;2;0
Petar Merkov;23;2000;10/01/2000;0;2;0
Florin Popescu;26;2000;10/01/2000;1;0;1
Mitica Pricop;22;2000;10/01/2000;1;0;1
Botond Storcz;25;2000;10/01/2000;2;0;0
Szilvia Szabó;21;2000;10/01/2000;0;2;0
Katrin Wagner-Augustin;22;2000;10/01/2000;2;0;0
Kevin Kuske;31;2010;02/28/2010;1;1;0
André Lange;36;2010;02/28/2010;1;1;0
Martin Annen;32;2006;02/26/2006;0;0;2
Beat Hefti;28;2006;02/26/2006;0;0;2
Kevin Kuske;27;2006;02/26/2006;2;0;0
André Lange;32;2006;02/26/2006;2;0;0
Ole Einar Bjørndalen;36;2010;02/28/2010;1;1;0
Marie Laure Brunet;21;2010;02/28/2010;0;1;1
Marie Dorin;23;2010;02/28/2010;0;1;1
Simone Hauswald;30;2010;02/28/2010;0;0;2
Vincent Jay;24;2010;02/28/2010;1;0;1
Anastasia Kuzmina;25;2010;02/28/2010;1;1;0
Christoph Sumann;34;2010;02/28/2010;0;2;0
Yevgeny Ustyugov;24;2010;02/28/2010;1;0;1
Olga Zaytseva;31;2010;02/28/2010;1;1;0
Florence Baverel-Robert;31;2006;02/26/2006;1;0;1
Vincent Defrasne;28;2006;02/26/2006;1;0;1
Halvard Hanevold;36;2006;02/26/2006;0;1;1
Svetlana Ishmuratova;33;2006;02/26/2006;2;0;0
Anna-Carin Olofsson-Zidek;32;2006;02/26/2006;1;1;0
Uschi Disl;31;2002;02/24/2002;1;1;0
Sven Fischer;30;2002;02/24/2002;0;2;0
Ricco Groß;31;2002;02/24/2002;0;1;1
Andrea Henkel;24;2002;02/24/2002;2;0;0
Frank Luck;34;2002;02/24/2002;0;2;0
Raphaël Poirée;27;2002;02/24/2002;0;1;1
Olga Pylyova-Medvedtseva;26;2002;02/24/2002;1;0;1
Liv Grete Skjelbreid-Poirée;27;2002;02/24/2002;0;2;0
Magdalena Wallin-Forsberg;34;2002;02/24/2002;0;0;2
Zhao Yunlei;25;2012;08/12/2012;2;0;0
Lee Hyo-Jeong;27;2008;08/24/2008;1;1;0
Yu Yang;22;2008;08/24/2008;1;0;1
Gao Ling;25;2004;08/29/2004;1;1;0
Gao Ling;21;2000;10/01/2000;1;0;1
Nataliya Antyukh;31;2012;08/12/2012;1;1;0
Veronica Campbell-Brown;30;2012;08/12/2012;0;1;1
Vivian Cheruiyot;28;2012;08/12/2012;0;1;1
Will Claye;21;2012;08/12/2012;0;1;1
Tirunesh Dibaba;27;2012;08/12/2012;1;0;1
Mo Farah;29;2012;08/12/2012;2;0;0
Justin Gatlin;30;2012;08/12/2012;0;1;1
Lalonde Gordon;23;2012;08/12/2012;0;0;2
Sanya Richards-Ross;27;2012;08/12/2012;2;0;0
DeeDee Trotter;29;2012;08/12/2012;1;0;1
Elvan Abeylegesse;25;2008;08/24/2008;0;2;0
Kenenisa Bekele;26;2008;08/24/2008;2;0;0
Kerron Clement;22;2008;08/24/2008;1;1;0
Tirunesh Dibaba;23;2008;08/24/2008;2;0;0
Walter Dix;22;2008;08/24/2008;0;0;2
Allyson Felix;22;2008;08/24/2008;1;1;0
Yuliya Gushchina;25;2008;08/24/2008;1;1;0
Tatyana Lebedeva;32;2008;08/24/2008;0;2;0
LaShawn Merritt;22;2008;08/24/2008;2;0;0
David Neville;24;2008;08/24/2008;1;0;1
Sanya Richards-Ross;23;2008;08/24/2008;1;0;1
Kerron Stewart;24;2008;08/24/2008;0;1;1
Jared Tallent;23;2008;08/24/2008;0;1;1
Angelo Taylor;29;2008;08/24/2008;2;0;0
Richard Thompson;23;2008;08/24/2008;0;2;0
Jeremy Wariner;24;2008;08/24/2008;1;1;0
Shericka Williams;22;2008;08/24/2008;0;1;1
Nataliya Antyukh;23;2004;08/29/2004;0;1;1
Kenenisa Bekele;22;2004;08/29/2004;1;1;0
Derrick Brew;26;2004;08/29/2004;1;0;1
Shawn Crawford;26;2004;08/29/2004;1;1;0
Hicham El Guerrouj;29;2004;08/29/2004;2;0;0
Maurice Greene;30;2004;08/29/2004;0;1;1
Otis Harris;22;2004;08/29/2004;1;1;0
Kelly Holmes;34;2004;08/29/2004;2;0;0
Tatyana Lebedeva;28;2004;08/29/2004;1;0;1
Jeremy Wariner;20;2004;08/29/2004;2;0;0
Ato Boldon;26;2000;10/01/2000;0;1;1
Pauline Davis-Thompson;34;2000;10/01/2000;2;0;0
Lorraine Graham;27;2000;10/01/2000;0;2;0
Maurice Greene;26;2000;10/01/2000;2;0;0
Greg Haughton;26;2000;10/01/2000;0;1;1
Deon Hemmings;31;2000;10/01/2000;0;2;0
Robert Korzeniowski;32;2000;10/01/2000;2;0;0
Tayna Lawrence;25;2000;10/01/2000;0;2;0
Beverly McDonald;30;2000;10/01/2000;0;1;1
Merlene Ottey-Page;40;2000;10/01/2000;0;1;1
Irina Privalova;31;2000;10/01/2000;1;0;1
Gabriela Szabo;24;2000;10/01/2000;1;0;1
Gete Wami;25;2000;10/01/2000;0;1;1
Elisabeth Görgl;28;2010;02/28/2010;0;0;2
Lindsey Kildow-Vonn;25;2010;02/28/2010;1;0;1
Ivica Kostelic;30;2010;02/28/2010;0;2;0
Julia Mancuso;25;2010;02/28/2010;0;2;0
Tina Maze;26;2010;02/28/2010;0;2;0
Maria Riesch;25;2010;02/28/2010;2;0;0
Michaela Dorfmeister;32;2006;02/26/2006;2;0;0
Janica Kostelic;24;2006;02/26/2006;1;1;0
Hermann Maier;33;2006;02/26/2006;0;1;1
Benjamin Raich;27;2006;02/26/2006;2;0;0
Marlies Schild;24;2006;02/26/2006;0;1;1
Rainer Schönfelder;28;2006;02/26/2006;0;0;2
Kjetil André Aamodt;30;2002;02/24/2002;2;0;0
Renate Götschl;26;2002;02/24/2002;0;1;1
Lasse Kjus;31;2002;02/24/2002;0;1;1
Bode Miller;24;2002;02/24/2002;0;2;0
Anja Pärson;20;2002;02/24/2002;0;1;1
Benjamin Raich;23;2002;02/24/2002;0;0;2
Ki Bo-Bae;24;2012;08/12/2012;2;0;0
Oh Jin-Hyek;30;2012;08/12/2012;1;0;1
Park Gyeong-Mo;32;2008;08/24/2008;1;1;0
Park Seong-Hyeon;25;2008;08/24/2008;1;1;0
Yun Ok-Hui;23;2008;08/24/2008;1;0;1
Zhang Juanjuan;27;2008;08/24/2008;1;1;0
Lee Seong-Jin;19;2004;08/29/2004;1;1;0
Park Seong-Hyeon;21;2004;08/29/2004;2;0;0
Kim Nam-Sun;20;2000;10/01/2000;1;1;0
Kim Su-Nyeong;29;2000;10/01/2000;1;0;1
Vic Wunderle;24;2000;10/01/2000;0;1;1
Yun Mi-Jin;17;2000;10/01/2000;2;0;0
Artur Aleksanyan;20;2012;08/12/2012;0;0;1
Valeriy Andriitsev;25;2012;08/12/2012;0;1;0
Rövs?n Bayramov;25;2012;08/12/2012;0;1;0
Jordan Burroughs;24;2012;08/12/2012;1;0;0
Clarissa Chun;30;2012;08/12/2012;0;0;1
Yogeshwar Dutt;29;2012;08/12/2012;0;0;1
Jaime Espinal;27;2012;08/12/2012;0;1;0
Johan Eurén;27;2012;08/12/2012;0;0;1
Karam Gaber;32;2012;08/12/2012;0;1;0
Daniyal Gadzhiyev;26;2012;08/12/2012;0;0;1
Komeil Ghasemi;24;2012;08/12/2012;0;0;1
Giorgi Gogshelidze;32;2012;08/12/2012;0;0;1
Sadegh Goudarzi;24;2012;08/12/2012;0;1;0
Steeve Guénot;26;2012;08/12/2012;0;0;1
Carol Huynh;31;2012;08/12/2012;0;0;1
Kaori Icho;28;2012;08/12/2012;1;0;0
Damian Janikowski;23;2012;08/12/2012;0;0;1
Jing Ruixue;24;2012;08/12/2012;0;1;0
Arsen Julfalakyan;25;2012;08/12/2012;0;1;0
Riza Kayaalp;22;2012;08/12/2012;0;0;1
Aleksandras Kazakevicius;26;2012;08/12/2012;0;0;1
Vladimer Khinchegashvili;21;2012;08/12/2012;0;1;0
Alan Khugayev;23;2012;08/12/2012;1;0;0
Kim Hyeon-Wu;23;2012;08/12/2012;1;0;0
Besik Kudukhov;25;2012;08/12/2012;0;1;0
Sushil Kumar;29;2012;08/12/2012;0;1;0
Zaur Kuramagomedov;24;2012;08/12/2012;0;0;1
Ehsan Naser Lashgari;26;2012;08/12/2012;0;0;1
Revaz Lashkhi;24;2012;08/12/2012;0;1;0
Jimmy Lidberg;30;2012;08/12/2012;0;0;1
Liván López;30;2012;08/12/2012;0;0;1
Mijaín López;29;2012;08/12/2012;1;0;0
Tamás Lorincz;25;2012;08/12/2012;0;1;0
Bilyal Makhov;24;2012;08/12/2012;0;0;1
Gyuzel Manyurova;34;2012;08/12/2012;0;0;1
Dato Marsagishvili;21;2012;08/12/2012;0;0;1
Ryutaro Matsumoto;26;2012;08/12/2012;0;0;1
Péter Módos;24;2012;08/12/2012;0;0;1
Davit Modzmanashvili;25;2012;08/12/2012;0;1;0
Heiki Nabi;27;2012;08/12/2012;0;1;0
Omid Noroozi;26;2012;08/12/2012;1;0;0
Hitomi Obara;31;2012;08/12/2012;1;0;0
Dzhamal Otarsultanov;25;2012;08/12/2012;1;0;0
Xetaq Qazyumov;29;2012;08/12/2012;0;0;1
Yuliya Ratkeviç;27;2012;08/12/2012;0;0;1
Jackeline Rentería;26;2012;08/12/2012;0;0;1
Ghasem Rezaei;26;2012;08/12/2012;1;0;0
Coleman Scott;26;2012;08/12/2012;0;0;1
Mingiyan Semyonov;22;2012;08/12/2012;0;0;1
Soronzonboldyn Battsetseg;22;2012;08/12/2012;0;0;1
Hamid Soryan;26;2012;08/12/2012;1;0;0
Mariya Stadnik;24;2012;08/12/2012;0;1;0
S?rif S?rifov;23;2012;08/12/2012;1;0;0
Akzhurek Tanatarov;25;2012;08/12/2012;0;0;1
Artur Taymazov;33;2012;08/12/2012;1;0;0
Soslan Tigiyev;28;2012;08/12/2012;0;0;1
Rustam Totrov;28;2012;08/12/2012;0;1;0
Denis Tsargush;24;2012;08/12/2012;0;0;1
Manuchar Tskhadaia;27;2012;08/12/2012;0;0;1
Maider Unda;35;2012;08/12/2012;0;0;1
Jake Varner;26;2012;08/12/2012;1;0;0
Tonya Verbeek;34;2012;08/12/2012;0;1;0
Roman Vlasov;21;2012;08/12/2012;1;0;0
Lyubov Volosova;29;2012;08/12/2012;0;0;1
Nataliya Vorobyova;21;2012;08/12/2012;1;0;0
Yang Kyong-Il;23;2012;08/12/2012;0;0;1
Tatsuhiro Yonemitsu;26;2012;08/12/2012;1;0;0
Saori Yoshida;29;2012;08/12/2012;1;0;0
Shinichi Yumoto;27;2012;08/12/2012;0;0;1
Stanka Zlateva;29;2012;08/12/2012;0;1;0
Emin ?hm?dov;25;2012;08/12/2012;0;0;1
Togrul ?sg?rov;19;2012;08/12/2012;1;0;0
Yusuf Abdusalomov;30;2008;08/24/2008;0;1;0
Bakhtiyar Akhmedov;21;2008;08/24/2008;0;1;0
Islam-Beka Albiyev;19;2008;08/24/2008;1;0;0
Roman Amoyan;24;2008;08/24/2008;0;0;1
Nazmi Avluca;31;2008;08/24/2008;0;0;1
Khasan Baroyev;25;2008;08/24/2008;0;1;0
Mavlet Batyrov;24;2008;08/24/2008;1;0;0
Rövs?n Bayramov;21;2008;08/24/2008;0;1;0
Kanat Begaliyev;24;2008;08/24/2008;0;1;0
Henry Cejudo;21;2008;08/24/2008;1;0;0
Chang Yongxiang;24;2008;08/24/2008;0;1;0
Taras Danko;28;2008;08/24/2008;0;0;1
Mirko Englich;29;2008;08/24/2008;0;1;0
Vasyl Fedoryshyn;27;2008;08/24/2008;0;1;0
Zoltán Fodor;23;2008;08/24/2008;0;1;0
Murad Gaydarov;28;2008;08/24/2008;0;0;1
Giorgi Gogshelidze;28;2008;08/24/2008;0;0;1
Christophe Guénot;29;2008;08/24/2008;0;0;1
Steeve Guénot;22;2008;08/24/2008;1;0;0
Kyoko Hamaguchi;30;2008;08/24/2008;0;0;1
Carol Huynh;27;2008;08/24/2008;1;0;0
Chiharu Icho;26;2008;08/24/2008;0;1;0
Kaori Icho;24;2008;08/24/2008;1;0;0
Manuchar K'virk'elia;29;2008;08/24/2008;1;0;0
Alyona Kartashova;26;2008;08/24/2008;0;1;0
Georgy Ketoyev;22;2008;08/24/2008;0;0;1
Aslanbek Khushtov;28;2008;08/24/2008;1;0;0
Besik Kudukhov;22;2008;08/24/2008;0;0;1
Sushil Kumar;25;2008;08/24/2008;0;0;1
Mijaín López;25;2008;08/24/2008;1;0;0
Aset Mambetov;26;2008;08/24/2008;0;0;1
Nazyr Mankiyev;23;2008;08/24/2008;1;0;0
Tomohiro Matsunaga;28;2008;08/24/2008;0;1;0
Iryna Merleni-Mykulchyn;26;2008;08/24/2008;0;0;1
Randi Miller;24;2008;08/24/2008;0;0;1
Revaz Mindorashvili;32;2008;08/24/2008;1;0;0
Andrea Minguzzi;26;2008;08/24/2008;1;0;0
Mindaugas Mizgaitis;28;2008;08/24/2008;0;0;1
Seyed Mohammadi;28;2008;08/24/2008;0;0;1
Sharvani Muradov;23;2008;08/24/2008;1;0;0
David Musulbes;36;2008;08/24/2008;0;0;1
Marid Mutalimov;28;2008;08/24/2008;0;0;1
Park Eun-Chul;27;2008;08/24/2008;0;0;1
Yury Patrikeyev;28;2008;08/24/2008;0;0;1
Xetaq Qazyumov;25;2008;08/24/2008;0;0;1
Jackeline Rentería;22;2008;08/24/2008;0;0;1
Vitaliy R?himov;23;2008;08/24/2008;0;1;0
Ramazan Sahin;25;2008;08/24/2008;1;0;0
Buvaisa Saytiyev;33;2008;08/24/2008;1;0;0
Mikhail Semyonov;24;2008;08/24/2008;0;0;1
Yelena Shalygina;21;2008;08/24/2008;0;0;1
Andriy Stadnik;26;2008;08/24/2008;0;1;0
Mariya Stadnik;20;2008;08/24/2008;0;0;1
Artur Taymazov;29;2008;08/24/2008;1;0;0
Nurbakyt Tengizbayev;25;2008;08/24/2008;0;0;1
Kiril Terziev;24;2008;08/24/2008;0;0;1
Soslan Tigiyev;24;2008;08/24/2008;0;1;0
Taymuraz Tigiyev;26;2008;08/24/2008;0;1;0
Otar Tushishvili;30;2008;08/24/2008;0;0;1
Ruslan Tyumenbayev;22;2008;08/24/2008;0;0;1
Armen Vardanian;25;2008;08/24/2008;0;0;1
Radoslav Velikov;24;2008;08/24/2008;0;0;1
Tonya Verbeek;31;2008;08/24/2008;0;0;1
Wang Jiao;20;2008;08/24/2008;1;0;0
Adam Wheeler;27;2008;08/24/2008;0;0;1
Agnieszka Wieszczek;25;2008;08/24/2008;0;0;1
Xu Li;18;2008;08/24/2008;0;1;0
Yavor Yanakiev;23;2008;08/24/2008;0;0;1
Saori Yoshida;25;2008;08/24/2008;1;0;0
Kenichi Yumoto;23;2008;08/24/2008;0;0;1
Stanka Zlateva;25;2008;08/24/2008;0;1;0
Stephen Abas;26;2004;08/29/2004;0;1;0
Ara Abrahamian;29;2004;08/29/2004;0;1;0
Khasan Baroyev;21;2004;08/29/2004;1;0;0
Mavlet Batyrov;20;2004;08/29/2004;1;0;0
Aleksandr Dokturishivili;24;2004;08/29/2004;1;0;0
Seref Eroglu;28;2004;08/29/2004;0;1;0
Iván Fundora;28;2004;08/29/2004;0;0;1
Karam Gaber;24;2004;08/29/2004;1;0;0
Rulon Gardner;33;2004;08/29/2004;0;0;1
Khadzhimurat Gatsalov;21;2004;08/29/2004;1;0;0
Lise Golliot-Legrand;27;2004;08/29/2004;0;0;1
Anna Gomis;30;2004;08/29/2004;0;0;1
Kyoko Hamaguchi;26;2004;08/29/2004;0;0;1
Ali Reza Heidari;28;2004;08/29/2004;0;0;1
Magamed Ibragimov;21;2004;08/29/2004;0;1;0
Chiharu Icho;22;2004;08/29/2004;0;1;0
Kaori Icho;20;2004;08/29/2004;1;0;0
Kenji Inoue;27;2004;08/29/2004;0;0;1
Jeong Ji-Hyeon;21;2004;08/29/2004;1;0;0
Jamill Kelly;26;2004;08/29/2004;0;1;0
Atryom Kyuregyan;27;2004;08/29/2004;0;0;1
Gennady Laliyev;25;2004;08/29/2004;0;1;0
István Majoros;30;2004;08/29/2004;1;0;0
Vyacheslav Makarenko;28;2004;08/29/2004;0;0;1
Gaydar Mamedaliyev;30;2004;08/29/2004;0;1;0
Mkhitar Manukyan;31;2004;08/29/2004;0;0;1
Gyuzel Manyurova;26;2004;08/29/2004;0;1;0
Sara McMann;23;2004;08/29/2004;0;1;0
Iryna Merleni-Mykulchyn;22;2004;08/29/2004;1;0;0
Patricia Miranda;25;2004;08/29/2004;0;0;1
Aleksey Mishin;25;2004;08/29/2004;1;0;0
Roberto Monzón;26;2004;08/29/2004;0;1;0
Masoud Moustafa Gokar;26;2004;08/29/2004;0;1;0
Mun Ui-Je;29;2004;08/29/2004;0;1;0
Makhach Murtazaliyev;20;2004;08/29/2004;0;0;1
F?rid M?nsurov;22;2004;08/29/2004;1;0;0
Armen Nazaryan;30;2004;08/29/2004;0;0;1
Ramaz Nozadze;20;2004;08/29/2004;0;1;0
Mehmet Özal;30;2004;08/29/2004;0;0;1
Aydin Polatçi;27;2004;08/29/2004;0;0;1
Yandro Quintana;24;2004;08/29/2004;1;0;0
Ali Reza Rezaei;28;2004;08/29/2004;0;1;0
Varteres Samurgashev;24;2004;08/29/2004;0;0;1
Cael Sanderson;25;2004;08/29/2004;1;0;0
Buvaisa Saytiyev;29;2004;08/29/2004;1;0;0
Sazhid Sazhidov;24;2004;08/29/2004;0;0;1
Chikara Tanabe;29;2004;08/29/2004;0;0;1
Artur Taymazov;25;2004;08/29/2004;1;0;0
Elbrus Tedieiev;29;2004;08/29/2004;1;0;0
Georgy Tsurtsumia;23;2004;08/29/2004;0;1;0
Tonya Verbeek;27;2004;08/29/2004;0;1;0
Wang Xu;18;2004;08/29/2004;1;0;0
Marko Yli-Hannuksela;30;2004;08/29/2004;0;1;0
Saori Yoshida;21;2004;08/29/2004;1;0;0
Namiq Abdullayev;29;2000;10/01/2000;1;0;0
Filiberto Azcuy;27;2000;10/01/2000;1;0;0
Sándor István Bárdosi;23;2000;10/01/2000;0;1;0
Serafim Barzakov;25;2000;10/01/2000;0;1;0
Islam Bayramukov;29;2000;10/01/2000;0;1;0
Adem Bereket;27;2000;10/01/2000;0;0;1
Terry Brands;32;2000;10/01/2000;0;0;1
Yevhen Buslovych;28;2000;10/01/2000;0;1;0
Ak'ak'i Chachua;31;2000;10/01/2000;0;0;1
Ali Reza Dabir;23;2000;10/01/2000;1;0;0
Dmitry Debelka;24;2000;10/01/2000;0;0;1
Rulon Gardner;29;2000;10/01/2000;1;0;0
Arsen Gitinov;23;2000;10/01/2000;0;1;0
Aleksey Glushkov;25;2000;10/01/2000;0;0;1
Sammie Henson;29;2000;10/01/2000;0;1;0
Mogamed Ibragimov;26;2000;10/01/2000;0;0;1
Daniel Igali;26;2000;10/01/2000;1;0;0
Jang Jae-Seong;25;2000;10/01/2000;0;0;1
Eldar K'urt'anidze;28;2000;10/01/2000;0;0;1
Kang Yong-Gyun;26;2000;10/01/2000;0;0;1
Amiran Kardanov;24;2000;10/01/2000;0;0;1
Murat Kardanov;29;2000;10/01/2000;1;0;0
Aleksandr Karelin;33;2000;10/01/2000;0;1;0
Kim In-Seop;27;2000;10/01/2000;0;1;0
Matt Lindland;30;2000;10/01/2000;0;1;0
Mikael Ljungberg;30;2000;10/01/2000;1;0;0
Garrett Lowney;20;2000;10/01/2000;0;0;1
Juan Luis Marén;29;2000;10/01/2000;0;1;0
Lincoln McIlravy;26;2000;10/01/2000;0;0;1
Mun Ui-Je;25;2000;10/01/2000;0;1;0
Sagid Murtazaliyev;26;2000;10/01/2000;1;0;0
David Musulbes;28;2000;10/01/2000;1;0;0
Katsuhiko Nagata;26;2000;10/01/2000;0;1;0
Armen Nazaryan;26;2000;10/01/2000;1;0;0
Lázaro Rivas;25;2000;10/01/2000;0;1;0
Alexis Rodríguez;22;2000;10/01/2000;0;0;1
Yoel Romero;23;2000;10/01/2000;0;1;0
David Saldadze;22;2000;10/01/2000;0;1;0
Varteres Samurgashev;21;2000;10/01/2000;1;0;0
Adam Saytiyev;22;2000;10/01/2000;1;0;0
Sheng Zetian;27;2000;10/01/2000;0;0;1
Sim Gwon-Ho;27;2000;10/01/2000;1;0;0
Brandon Slay;24;2000;10/01/2000;1;0;0
Artur Taymazov;21;2000;10/01/2000;0;1;0
Murad Umakhanov;23;2000;10/01/2000;1;0;0
Mukhran Vakht'angadze;27;2000;10/01/2000;0;0;1
Hamza Yerlikaya;24;2000;10/01/2000;1;0;0
Marko Yli-Hannuksela;26;2000;10/01/2000;0;0;1
Ruslan Albegov;24;2012;08/12/2012;0;0;1
Sajjad Anoushiravani;28;2012;08/12/2012;0;1;0
Apti Aukhadov;19;2012;08/12/2012;0;1;0
Bartlomiej Bonk;27;2012;08/12/2012;0;0;1
Iván Cambar;28;2012;08/12/2012;0;0;1
Zulfiya Chinshanlo;19;2012;08/12/2012;1;0;0
Anatolii Cîrîcu;23;2012;08/12/2012;0;0;1
Roxana Cocos;23;2012;08/12/2012;0;1;0
Oscar Figueroa;29;2012;08/12/2012;0;1;0
Christine Girard;27;2012;08/12/2012;0;0;1
Hsu Shu-Ching;21;2012;08/12/2012;0;1;0
Ilya Ilyin;24;2012;08/12/2012;1;0;0
Cristina Iovu;19;2012;08/12/2012;0;0;1
Eko Irawan;23;2012;08/12/2012;0;0;1
Aleksandr Ivanov;23;2012;08/12/2012;0;1;0
Yuliya Kalina;23;2012;08/12/2012;0;0;1
Tatyana Kashirina;21;2012;08/12/2012;0;1;0
Hripsime Khurshudyan;25;2012;08/12/2012;0;0;1
Kim Un-Guk;23;2012;08/12/2012;1;0;0
Irina Kulesha;26;2012;08/12/2012;0;0;1
Li Xueying;22;2012;08/12/2012;1;0;0
Lin Qingfeng;23;2012;08/12/2012;1;0;0
Lu Haojie;21;2012;08/12/2012;0;1;0
Lu Xiaojun;28;2012;08/12/2012;1;0;0
Maiya Maneza;26;2012;08/12/2012;1;0;0
Razvan Martin;20;2012;08/12/2012;0;0;1
Hiromi Miyake;26;2012;08/12/2012;0;1;0
Navab Nasirshelal;23;2012;08/12/2012;0;1;0
Om Yun-Chol;20;2012;08/12/2012;1;0;0
Svetlana Podobedova;26;2012;08/12/2012;1;0;0
Rim Jong-Sim;19;2012;08/12/2012;1;0;0
Kianoush Rostami;21;2012;08/12/2012;0;0;1
Ryang Chun-Hwa;21;2012;08/12/2012;0;0;1
Behdad Salimi;22;2012;08/12/2012;1;0;0
Marina Shkermankova;22;2012;08/12/2012;0;0;1
Pimsiri Sirikaew;22;2012;08/12/2012;0;1;0
Oleksiy Torokhtiy;26;2012;08/12/2012;1;0;0
Triyatno;24;2012;08/12/2012;0;1;0
Svetlana Tsarukayeva;24;2012;08/12/2012;0;1;0
Wang Mingjuan;26;2012;08/12/2012;1;0;0
Wu Jingbiao;23;2012;08/12/2012;0;1;0
Valentin Xristov;18;2012;08/12/2012;0;0;1
Nataliya Zabolotnaya;26;2012;08/12/2012;0;1;0
Zhou Lulu;24;2012;08/12/2012;1;0;0
Adrian Zielinski;23;2012;08/12/2012;1;0;0
Khadzhimurat Akkayev;23;2008;08/24/2008;0;0;1
Andrey Aryamnov;20;2008;08/24/2008;1;0;0
Cao Lei;24;2008;08/24/2008;1;0;0
Chen Wei-Ling;26;2008;08/24/2008;0;0;1
Chen Xiexia;25;2008;08/24/2008;1;0;0
Chen Yanqing;29;2008;08/24/2008;1;0;0
Yevgeny Chigishev;29;2008;08/24/2008;0;1;0
Vencelas Dabaya;27;2008;08/24/2008;0;1;0
Gevorg Davtyan;25;2008;08/24/2008;0;0;1
Nataliya Davydova;23;2008;08/24/2008;0;0;1
Mariya Grabovetskaya;21;2008;08/24/2008;0;0;1
Hoàng Anh Tu?n;23;2008;08/24/2008;0;1;0
Ilya Ilyin;20;2008;08/24/2008;1;0;0
Eko Irawan;19;2008;08/24/2008;0;0;1
